Name	Read1_1	Read2_1
Donor_1_AAVS1_1_C3	JFAM15/Donor_1_AAVS1_1_C3_S42_L002_R1_001.fastq.gz	JFAM15/Donor_1_AAVS1_1_C3_S42_L002_R2_001.fastq.gz
Donor_1_AAVS1_2_A3	JFAM15/Donor_1_AAVS1_2_A3_S18_L002_R1_001.fastq.gz	JFAM15/Donor_1_AAVS1_2_A3_S18_L002_R2_001.fastq.gz
Donor_1_AAVS1_3_B10	JFAM15/Donor_1_AAVS1_3_B10_S37_L002_R1_001.fastq.gz	JFAM15/Donor_1_AAVS1_3_B10_S37_L002_R2_001.fastq.gz
Donor_1_AAVS1_4_A1	JFAM15/Donor_1_AAVS1_4_A1_S16_L002_R1_001.fastq.gz	JFAM15/Donor_1_AAVS1_4_A1_S16_L002_R2_001.fastq.gz
Donor_1_AAVS1_5_B7	JFAM15/Donor_1_AAVS1_5_B7_S34_L002_R1_001.fastq.gz	JFAM15/Donor_1_AAVS1_5_B7_S34_L002_R2_001.fastq.gz
Donor_1_AAVS1_6_B4	JFAM15/Donor_1_AAVS1_6_B4_S31_L002_R1_001.fastq.gz	JFAM15/Donor_1_AAVS1_6_B4_S31_L002_R2_001.fastq.gz
Donor_1_AAVS1_7_A11	JFAM15/Donor_1_AAVS1_7_A11_S26_L002_R1_001.fastq.gz	JFAM15/Donor_1_AAVS1_7_A11_S26_L002_R2_001.fastq.gz
Donor_1_AAVS1_8_A9	JFAM15/Donor_1_AAVS1_8_A9_S24_L002_R1_001.fastq.gz	JFAM15/Donor_1_AAVS1_8_A9_S24_L002_R2_001.fastq.gz
Donor_1_ATXN7L3_C5	JFAM15/Donor_1_ATXN7L3_C5_S44_L002_R1_001.fastq.gz	JFAM15/Donor_1_ATXN7L3_C5_S44_L002_R2_001.fastq.gz
Donor_1_CBFB_C8	JFAM15/Donor_1_CBFB_C8_S47_L002_R1_001.fastq.gz	JFAM15/Donor_1_CBFB_C8_S47_L002_R2_001.fastq.gz
Donor_1_ETS1_C6	JFAM15/Donor_1_ETS1_C6_S45_L002_R1_001.fastq.gz	JFAM15/Donor_1_ETS1_C6_S45_L002_R2_001.fastq.gz
Donor_1_FOXK1_A8	JFAM15/Donor_1_FOXK1_A8_S23_L002_R1_001.fastq.gz	JFAM15/Donor_1_FOXK1_A8_S23_L002_R2_001.fastq.gz
Donor_1_FOXP1_B8	JFAM15/Donor_1_FOXP1_B8_S35_L002_R1_001.fastq.gz	JFAM15/Donor_1_FOXP1_B8_S35_L002_R2_001.fastq.gz
Donor_1_GATA3_A5	JFAM15/Donor_1_GATA3_A5_S20_L002_R1_001.fastq.gz	JFAM15/Donor_1_GATA3_A5_S20_L002_R2_001.fastq.gz
Donor_1_HIVEP2_B5	JFAM15/Donor_1_HIVEP2_B5_S32_L002_R1_001.fastq.gz	JFAM15/Donor_1_HIVEP2_B5_S32_L002_R2_001.fastq.gz
Donor_1_IL2RA_B9	JFAM15/Donor_1_IL2RA_B9_S36_L002_R1_001.fastq.gz	JFAM15/Donor_1_IL2RA_B9_S36_L002_R2_001.fastq.gz
Donor_1_IRF1_B12	JFAM15/Donor_1_IRF1_B12_S39_L002_R1_001.fastq.gz	JFAM15/Donor_1_IRF1_B12_S39_L002_R2_001.fastq.gz
Donor_1_IRF2_B6	JFAM15/Donor_1_IRF2_B6_S33_L002_R1_001.fastq.gz	JFAM15/Donor_1_IRF2_B6_S33_L002_R2_001.fastq.gz
Donor_1_IRF4_C7	JFAM15/Donor_1_IRF4_C7_S46_L002_R1_001.fastq.gz	JFAM15/Donor_1_IRF4_C7_S46_L002_R2_001.fastq.gz
Donor_1_JAK3_B11	JFAM15/Donor_1_JAK3_B11_S38_L002_R1_001.fastq.gz	JFAM15/Donor_1_JAK3_B11_S38_L002_R2_001.fastq.gz
Donor_1_KLF2_A4	JFAM15/Donor_1_KLF2_A4_S19_L002_R1_001.fastq.gz	JFAM15/Donor_1_KLF2_A4_S19_L002_R2_001.fastq.gz
Donor_1_KMT2A_C2	JFAM15/Donor_1_KMT2A_C2_S41_L002_R1_001.fastq.gz	JFAM15/Donor_1_KMT2A_C2_S41_L002_R2_001.fastq.gz
Donor_1_MBD2_C4	JFAM15/Donor_1_MBD2_C4_S43_L002_R1_001.fastq.gz	JFAM15/Donor_1_MBD2_C4_S43_L002_R2_001.fastq.gz
Donor_1_MED12_C1	JFAM15/Donor_1_MED12_C1_S40_L002_R1_001.fastq.gz	JFAM15/Donor_1_MED12_C1_S40_L002_R2_001.fastq.gz
Donor_1_MYB_B1	JFAM15/Donor_1_MYB_B1_S28_L002_R1_001.fastq.gz	JFAM15/Donor_1_MYB_B1_S28_L002_R2_001.fastq.gz
Donor_1_RELA_A2	JFAM15/Donor_1_RELA_A2_S17_L002_R1_001.fastq.gz	JFAM15/Donor_1_RELA_A2_S17_L002_R2_001.fastq.gz
Donor_1_STAT5A_B3	JFAM15/Donor_1_STAT5A_B3_S30_L002_R1_001.fastq.gz	JFAM15/Donor_1_STAT5A_B3_S30_L002_R2_001.fastq.gz
Donor_1_STAT5B_A10	JFAM15/Donor_1_STAT5B_A10_S25_L002_R1_001.fastq.gz	JFAM15/Donor_1_STAT5B_A10_S25_L002_R2_001.fastq.gz
Donor_1_TNFAIP3_A12	JFAM15/Donor_1_TNFAIP3_A12_S27_L002_R1_001.fastq.gz	JFAM15/Donor_1_TNFAIP3_A12_S27_L002_R2_001.fastq.gz
Donor_1_YY1_B2	JFAM15/Donor_1_YY1_B2_S29_L002_R1_001.fastq.gz	JFAM15/Donor_1_YY1_B2_S29_L002_R2_001.fastq.gz
Donor_1_ZNF217_A6	JFAM15/Donor_1_ZNF217_A6_S21_L002_R1_001.fastq.gz	JFAM15/Donor_1_ZNF217_A6_S21_L002_R2_001.fastq.gz
Donor_3_AAVS1_1_E11	JFAM15/Donor_3_AAVS1_1_E11_S74_L002_R1_001.fastq.gz	JFAM15/Donor_3_AAVS1_1_E11_S74_L002_R2_001.fastq.gz
Donor_3_AAVS1_2_C11	JFAM15/Donor_3_AAVS1_2_C11_S50_L002_R1_001.fastq.gz	JFAM15/Donor_3_AAVS1_2_C11_S50_L002_R2_001.fastq.gz
Donor_3_AAVS1_3_E6	JFAM15/Donor_3_AAVS1_3_E6_S69_L002_R1_001.fastq.gz	JFAM15/Donor_3_AAVS1_3_E6_S69_L002_R2_001.fastq.gz
Donor_3_AAVS1_5_E3	JFAM15/Donor_3_AAVS1_5_E3_S66_L002_R1_001.fastq.gz	JFAM15/Donor_3_AAVS1_5_E3_S66_L002_R2_001.fastq.gz
Donor_3_AAVS1_6_D12	JFAM15/Donor_3_AAVS1_6_D12_S63_L002_R1_001.fastq.gz	JFAM15/Donor_3_AAVS1_6_D12_S63_L002_R2_001.fastq.gz
Donor_3_AAVS1_7_D7	JFAM15/Donor_3_AAVS1_7_D7_S58_L002_R1_001.fastq.gz	JFAM15/Donor_3_AAVS1_7_D7_S58_L002_R2_001.fastq.gz
Donor_3_AAVS1_8_D5	JFAM15/Donor_3_AAVS1_8_D5_S56_L002_R1_001.fastq.gz	JFAM15/Donor_3_AAVS1_8_D5_S56_L002_R2_001.fastq.gz
Donor_3_ATXN7L3_F1	JFAM15/Donor_3_ATXN7L3_F1_S76_L002_R1_001.fastq.gz	JFAM15/Donor_3_ATXN7L3_F1_S76_L002_R2_001.fastq.gz
Donor_3_CBFB_F4	JFAM15/Donor_3_CBFB_F4_S79_L002_R1_001.fastq.gz	JFAM15/Donor_3_CBFB_F4_S79_L002_R2_001.fastq.gz
Donor_3_ETS1_F2	JFAM15/Donor_3_ETS1_F2_S77_L002_R1_001.fastq.gz	JFAM15/Donor_3_ETS1_F2_S77_L002_R2_001.fastq.gz
Donor_3_FOXK1_D4	JFAM15/Donor_3_FOXK1_D4_S55_L002_R1_001.fastq.gz	JFAM15/Donor_3_FOXK1_D4_S55_L002_R2_001.fastq.gz
Donor_3_FOXP1_E4	JFAM15/Donor_3_FOXP1_E4_S67_L002_R1_001.fastq.gz	JFAM15/Donor_3_FOXP1_E4_S67_L002_R2_001.fastq.gz
Donor_3_GATA3_D1	JFAM15/Donor_3_GATA3_D1_S52_L002_R1_001.fastq.gz	JFAM15/Donor_3_GATA3_D1_S52_L002_R2_001.fastq.gz
Donor_3_HIVEP2_E1	JFAM15/Donor_3_HIVEP2_E1_S64_L002_R1_001.fastq.gz	JFAM15/Donor_3_HIVEP2_E1_S64_L002_R2_001.fastq.gz
Donor_3_IL2RA_E5	JFAM15/Donor_3_IL2RA_E5_S68_L002_R1_001.fastq.gz	JFAM15/Donor_3_IL2RA_E5_S68_L002_R2_001.fastq.gz
Donor_3_IRF1_E8	JFAM15/Donor_3_IRF1_E8_S71_L002_R1_001.fastq.gz	JFAM15/Donor_3_IRF1_E8_S71_L002_R2_001.fastq.gz
Donor_3_IRF2_E2	JFAM15/Donor_3_IRF2_E2_S65_L002_R1_001.fastq.gz	JFAM15/Donor_3_IRF2_E2_S65_L002_R2_001.fastq.gz
Donor_3_IRF4_F3	JFAM15/Donor_3_IRF4_F3_S78_L002_R1_001.fastq.gz	JFAM15/Donor_3_IRF4_F3_S78_L002_R2_001.fastq.gz
Donor_3_JAK3_E7	JFAM15/Donor_3_JAK3_E7_S70_L002_R1_001.fastq.gz	JFAM15/Donor_3_JAK3_E7_S70_L002_R2_001.fastq.gz
Donor_3_KLF2_C12	JFAM15/Donor_3_KLF2_C12_S51_L002_R1_001.fastq.gz	JFAM15/Donor_3_KLF2_C12_S51_L002_R2_001.fastq.gz
Donor_3_KMT2A_E10	JFAM15/Donor_3_KMT2A_E10_S73_L002_R1_001.fastq.gz	JFAM15/Donor_3_KMT2A_E10_S73_L002_R2_001.fastq.gz
Donor_3_MBD2_E12	JFAM15/Donor_3_MBD2_E12_S75_L002_R1_001.fastq.gz	JFAM15/Donor_3_MBD2_E12_S75_L002_R2_001.fastq.gz
Donor_3_MED12_E9	JFAM15/Donor_3_MED12_E9_S72_L002_R1_001.fastq.gz	JFAM15/Donor_3_MED12_E9_S72_L002_R2_001.fastq.gz
Donor_3_MYB_D9	JFAM15/Donor_3_MYB_D9_S60_L002_R1_001.fastq.gz	JFAM15/Donor_3_MYB_D9_S60_L002_R2_001.fastq.gz
Donor_3_PTEN_D3	JFAM15/Donor_3_PTEN_D3_S54_L002_R1_001.fastq.gz	JFAM15/Donor_3_PTEN_D3_S54_L002_R2_001.fastq.gz
Donor_3_RELA_C10	JFAM15/Donor_3_RELA_C10_S49_L002_R1_001.fastq.gz	JFAM15/Donor_3_RELA_C10_S49_L002_R2_001.fastq.gz
Donor_3_STAT5A_D11	JFAM15/Donor_3_STAT5A_D11_S62_L002_R1_001.fastq.gz	JFAM15/Donor_3_STAT5A_D11_S62_L002_R2_001.fastq.gz
