Sample	Davis_ID	fastq
Donor_1_AAVS1_4	AMCD1	Project_AMJW_L8_Tag0014P_Woo/AMCD1_UMI_S114_L008_R1_001.fastq.gz
Donor_1_STAT5B	AMCD10	Project_AMJW_L8_Tag0014P_Woo/AMCD10_UMI_S123_L008_R1_001.fastq.gz
Donor_1_AAVS1_7	AMCD11	Project_AMJW_L8_Tag0014P_Woo/AMCD11_UMI_S124_L008_R1_001.fastq.gz
Donor_1_TNFAIP3	AMCD12	Project_AMJW_L8_Tag0014P_Woo/AMCD12_UMI_S125_L008_R1_001.fastq.gz
Donor_1_MYB	AMCD13	Project_AMJW_L8_Tag0014P_Woo/AMCD13_UMI_S126_L008_R1_001.fastq.gz
Donor_1_YY1	AMCD14	Project_AMJW_L8_Tag0014P_Woo/AMCD14_UMI_S127_L008_R1_001.fastq.gz
Donor_1_STAT5A	AMCD15	Project_AMJW_L8_Tag0014P_Woo/AMCD15_UMI_S128_L008_R1_001.fastq.gz
Donor_1_AAVS1_6	AMCD16	Project_AMJW_L8_Tag0014P_Woo/AMCD16_UMI_S129_L008_R1_001.fastq.gz
Donor_1_HIVEP2	AMCD17	Project_AMJW_L8_Tag0014P_Woo/AMCD17_UMI_S130_L008_R1_001.fastq.gz
Donor_1_IRF2	AMCD18	Project_AMJW_L8_Tag0014P_Woo/AMCD18_UMI_S131_L008_R1_001.fastq.gz
Donor_1_AAVS1_5	AMCD19	Project_AMJW_L8_Tag0014P_Woo/AMCD19_UMI_S132_L008_R1_001.fastq.gz
Donor_1_RELA	AMCD2	Project_AMJW_L8_Tag0014P_Woo/AMCD2_UMI_S115_L008_R1_001.fastq.gz
Donor_1_FOXP1	AMCD20	Project_AMJW_L8_Tag0014P_Woo/AMCD20_UMI_S133_L008_R1_001.fastq.gz
Donor_1_IL2RA	AMCD21	Project_AMJW_L8_Tag0014P_Woo/AMCD21_UMI_S134_L008_R1_001.fastq.gz
Donor_1_AAVS1_3	AMCD22	Project_AMJW_L8_Tag0014P_Woo/AMCD22_UMI_S135_L008_R1_001.fastq.gz
Donor_1_JAK3	AMCD23	Project_AMJW_L8_Tag0014P_Woo/AMCD23_UMI_S136_L008_R1_001.fastq.gz
Donor_1_IRF1	AMCD24	Project_AMJW_L8_Tag0014P_Woo/AMCD24_UMI_S137_L008_R1_001.fastq.gz
Donor_1_MED12	AMCD25	Project_AMJW_L8_Tag0014P_Woo/AMCD25_UMI_S138_L008_R1_001.fastq.gz
Donor_1_KMT2A	AMCD26	Project_AMJW_L8_Tag0014P_Woo/AMCD26_UMI_S139_L008_R1_001.fastq.gz
Donor_1_AAVS1_1	AMCD27	Project_AMJW_L8_Tag0014P_Woo/AMCD27_UMI_S140_L008_R1_001.fastq.gz
Donor_1_MBD2	AMCD28	Project_AMJW_L8_Tag0014P_Woo/AMCD28_UMI_S141_L008_R1_001.fastq.gz
Donor_1_ATXN7L3	AMCD29	Project_AMJW_L8_Tag0014P_Woo/AMCD29_UMI_S142_L008_R1_001.fastq.gz
Donor_1_AAVS1_2	AMCD3	Project_AMJW_L8_Tag0014P_Woo/AMCD3_UMI_S116_L008_R1_001.fastq.gz
